EXTERIOR,,INTERIOR,2011,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
668 - Jet Black,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C51DE799174,,E799174,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,655,752",,,07-18-2012,1100,,,,,,,,,,
A96 - Mineral White Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C53DE799175,,E799175,"MSRP.1,ZCP,ZCW,ZPP.1,2MK,302,6FL",,,07-18-2012,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C55DE799176,,E799176,"MSRP.1,ZCP,ZCW,ZPP.1,2MK,302,403,6FL",,,07-18-2012,550/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C57DE799177,,E799177,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,07-18-2012,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C59DE799178,,E799178,"MSRP.1,ZPP.3,2MK,302,6FL,6NF,6NR",,,07-18-2012,550/1100,,,,,,,,,,
S34 - Unknown Paint Code,,NCSW - Black Novillo Leather,2013,WBSKG9C50DE799179,,E799179,"MSRP.1,ZCP,ZCW,2MK,302,322,6FL",,,07-21-2012,950,,CAN,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2013,WBSKG9C57DE799180,,E799180,"MSRP.1,ZCW,302,322,403,4MY,609,6FL",,,"Jul 18, 2012",550/950,,CAN,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C59DE799181,,E799181,"MSRP.1,ZCP,ZCW,ZPP.2,302,403,6FL,6NF,6NR,655,752",,,"Jul 18, 2012",550,,,,,,,,,,
668 - Jet Black,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C50DE799182,,E799182,"MSRP.1,ZCP,ZCW,ZPP.1,2MK,302,403,6FL,752",,,"Jul 19, 2012",,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C52DE799183,,E799183,"MSRP.1,2MK,302,322,494,4MY,609,6FL,655",,,"Jul 19, 2012",,,,,,,,,,,
